specification,clip,term,abs_smd
original,0.02,income_Under $11k,0.0022045131688149997
original,0.05,cardiohx,0.0002479521707785949
original,0.05,chfhx,0.00037116241100854574
original,0.05,dementhx,0.0520237741618728
original,0.05,psychhx,0.01487983720433255
original,0.05,chrpulhx,0.02675816080354019
original,0.05,renalhx,0.016504287991017972
original,0.05,liverhx,0.002570611698731631
original,0.05,gibledhx,0.013833316583244975
original,0.05,malighx,0.012527630730022625
original,0.05,immunhx,0.006528463756962262
original,0.05,transhx,0.02442280153395052
original,0.05,amihx,0.004280900789527161
original,0.05,age,0.005427450150378514
original,0.05,edu,0.006641536701528198
original,0.05,surv2md1,0.014544617173127826
original,0.05,das2d3pc,0.036483279189713634
original,0.05,aps1,0.04162044333378398
original,0.05,scoma1,0.011380114406842078
original,0.05,meanbp1,0.02261633517075365
original,0.05,wblc1,0.03778285304848833
original,0.05,hrt1,0.042760639580025
original,0.05,resp1,0.01768952695198542
original,0.05,temp1,0.011395759434273919
original,0.05,pafi1,0.030024110437857108
original,0.05,alb1,0.008523444327542594
original,0.05,hema1,0.024320400334602275
original,0.05,bili1,0.0035552314446333126
original,0.05,crea1,0.027660711210201826
original,0.05,sod1,0.01971167193131444
original,0.05,pot1,0.015154034823182179
original,0.05,paco21,0.047613276884162
original,0.05,ph1,0.026505955719667386
original,0.05,wtkilo1,0.03507524583169029
original,0.05,adld3p,0.03886026486875425
original,0.05,urin1,0.03340962115606922
original,0.05,cat1_CHF,0.009947554809814093
original,0.05,cat1_COPD,0.07194712553845196
original,0.05,cat1_Cirrhosis,0.01657063270207096
original,0.05,cat1_Colon Cancer,0.01937134062998088
original,0.05,cat1_Coma,0.02657281864004733
original,0.05,cat1_Lung Cancer,0.04291616521388171
original,0.05,cat1_MOSF w/Malignancy,0.009542208654371657
original,0.05,cat1_MOSF w/Sepsis,0.028817166043087823
original,0.05,cat2_Colon Cancer,0.0008559338834467999
original,0.05,cat2_Coma,0.014864218695808442
original,0.05,cat2_Lung Cancer,0.009443997042142667
original,0.05,cat2_MOSF w/Malignancy,0.025237723691474756
original,0.05,cat2_MOSF w/Sepsis,0.012741127838560608
original,0.05,ca_No,0.011996600969724535
original,0.05,ca_Yes,0.01359308096735774
original,0.05,sex_Male,0.03108312589254158
original,0.05,dnr1_Yes,0.03745976771141482
original,0.05,ninsclas_Medicare,0.041743646431402916
original,0.05,ninsclas_Medicare & Medicaid,0.011626722262877963
original,0.05,ninsclas_No insurance,0.0009222240238800889
original,0.05,ninsclas_Private,0.027360882130787908
