gene,n_protein,mean_difference_protein,ci_low_protein,ci_high_protein,p_value_protein,q_value_protein,sd_difference_protein,median_difference_protein,missing_pairs_protein,status_protein,n_rna,mean_difference_rna,ci_low_rna,ci_high_rna,p_value_rna,q_value_rna,sd_difference_rna,median_difference_rna,missing_pairs_rna,status_rna,same_direction,abs_protein_difference
NDUFS4,72,-2.057804741327354,-2.178109468504387,-1.9375000141503216,9.168419565084216e-46,3.066225116549664e-42,0.5119601073981768,-2.203394512983151,0,tested,72,0.1240002608294156,0.0401082843736834,0.2078922372851478,0.0043355946568825,0.0060206917695626,0.3570046355112916,0.151653107936005,0,tested,False,2.057804741327354
GYPA,50,2.020408017819185,1.71654212984734,2.324273905791029,5.849443580770025e-18,2.3014693116025748e-17,1.0692091840418352,2.003209951457949,22,tested,72,-0.4533002188299352,-0.5536109759132661,-0.3529894617466043,2.244550547664804e-13,6.437425137835032e-13,0.4268752124262218,-0.5204956044194955,0,tested,False,2.020408017819185
GM2A,72,-1.9800594548618196,-2.150300509596536,-1.809818400127103,7.425417143343078e-35,3.2390960956157e-33,0.724465536065846,-1.8921138831876991,0,tested,72,1.7107570621204955,1.570637321336251,1.85087680290474,3.461821623548924e-36,1.158917925559556e-34,0.5962834480722005,1.6352376682454148,0,tested,False,1.9800594548618196
HBE1,60,1.9726078160168967,1.5135555577750486,2.431660074258745,5.362172421512024e-12,1.3988215263918392e-11,1.7770173491436805,1.5419926350474524,12,tested,72,-0.1259980904343632,-0.1764873325802829,-0.0755088482884434,4.36925626052322e-06,7.655861389038796e-06,0.2148583720525019,-0.114858200589966,0,tested,False,1.9726078160168967
TLR10,56,-1.863447511302113,-2.254847880309097,-1.4720471422951291,2.9198085822399633e-13,8.272928411638958e-13,1.4615302952236766,-1.883560922085501,16,tested,72,0.532012855436214,0.4303668865315561,0.633658824340872,5.555368025034237e-16,1.9122976646637586e-15,0.432557243411089,0.5257850432313156,0,tested,False,1.863447511302113
