gene,n_protein,mean_difference_protein,ci_low_protein,ci_high_protein,p_value_protein,q_value_protein,sd_difference_protein,median_difference_protein,missing_pairs_protein,status_protein,n_rna,mean_difference_rna,ci_low_rna,ci_high_rna,p_value_rna,q_value_rna,sd_difference_rna,median_difference_rna,missing_pairs_rna,status_rna,same_direction
AARS2,72,-0.0705864687636013,-0.13923455343075294,-0.001938384096449669,0.04403400759607652,0.05358316533795461,0.2921338306777989,-0.08952521086149931,0,tested,72,0.15845307883668255,0.08450667368711859,0.23239948398624652,5.899661033603476e-05,9.531995458745017e-05,0.3146809806265636,0.1923044689410649,0,tested,False
AARSD1,72,0.24080452873272343,0.18874716672782094,0.2928618907376259,9.083901448079714e-14,2.6617635288721894e-13,0.22153154965953498,0.24034113637910198,0,tested,72,0.043667640345595275,-0.0180070075312765,0.10534228822246705,0.16238354817543454,0.18922191252334156,0.2624581767624502,0.020318204122445227,0,tested,True
AASDH,22,0.1093146175466234,-0.31916367610607577,0.5377929111993226,0.6012919536213841,0.631768998919609,0.9664012126030266,-0.08431113307425,50,tested,72,-0.16722771584658716,-0.21593655009258694,-0.11851888160058739,2.2504822160450855e-09,4.945443122396545e-09,0.20728179679196118,-0.1417219697875549,0,tested,False
AASDHPPT,72,0.023378184182463797,-0.03329722081209725,0.08005358917702485,0.4135536460316118,0.44788252705474546,0.2411837598463875,0.008959195706552054,0,tested,72,0.08703084425818781,0.008756230809531043,0.16530545770684457,0.029826723476372725,0.03805899522904491,0.33309979123892214,0.05028479731217006,0,tested,True
AASS,72,-1.583641449286786,-1.7248392593242314,-1.4424436392493407,7.2165633552839715e-34,2.4296570517974528e-32,0.6008712017174856,-1.65649463275375,0,tested,72,-1.4629240861840296,-1.6294221252972727,-1.2964260470707865,1.7371339842148647e-27,1.7385054057813502e-26,0.7085370291440629,-1.37435110820122,0,tested,True
AATF,72,0.4096891365641014,0.36286954913345354,0.45650872399474923,2.203188471401713e-27,2.171374256736089e-26,0.19924205450431237,0.438781071867999,0,tested,72,0.5054553984565165,0.44440048336003546,0.5665103135529976,5.227114210372559e-26,4.475172296723737e-25,0.2598208867053429,0.4621395322614552,0,tested,True
ABAT,72,-2.137005413365489,-2.3216623464998674,-1.952348480231111,1.0168038738240865e-34,4.2684490653042086e-33,0.7858127069286281,-2.22809680345455,0,tested,72,-3.582891230522505,-3.8965517467334925,-3.269230714311518,2.3031049642403e-34,5.800468992719114e-33,1.334791037177141,-3.8203824080061297,0,tested,True
ABCA1,64,0.6243689230738003,0.4461015347834502,0.8026363113641504,2.0061557389823256e-09,4.376551539293253e-09,0.7136616987832537,0.588890354224253,8,tested,72,1.5992401286876465,1.4825291011951518,1.7159511561801413,2.090845806359848e-39,1.1727856344522865e-37,0.49666701859256845,1.56034903946731,0,tested,True
ABCA12,23,0.2309010684955693,-0.02165895089079567,0.48346108788193426,0.07116805212992232,0.08468086658201028,0.5840450513809624,0.1928559986754021,49,tested,72,1.2559413119397356,1.04298701352597,1.4688956103535011,2.482216303864515e-18,1.0267422888401947e-17,0.9062329307009018,1.0741029978210856,0,tested,True
ABCA2,68,-0.09035196433839177,-0.19568180886990705,0.01497788019312353,0.09148938287304313,0.10749654272927062,0.4351545660192366,-0.0836105047280514,4,tested,72,-0.2048896158002191,-0.3322773860339513,-0.07750184556648695,0.0020120887130013624,0.002880580249790762,0.5421021938240709,-0.2828949760018149,0,tested,True
ABCA8,49,-0.8013334113519938,-0.9873068352847687,-0.6153599874192188,2.2297709211149282e-11,5.5942214682535825e-11,0.647464171497587,-0.787732999300903,23,tested,72,-2.326704223649129,-2.518041389619221,-2.1353670576790367,4.4690688513212784e-36,1.4651611070323121e-34,0.8142406232729649,-2.3863698568481126,0,tested,True
ABCB1,72,-1.2831020739612844,-1.431986943072704,-1.1342172048498649,5.297664381616497e-27,4.976729095576622e-26,0.6335836950785875,-1.305081689420251,0,tested,72,-1.862524856982847,-2.1223569638940263,-1.602692750071668,1.395397458514933e-22,8.322924301650393e-22,1.105722746571651,-1.82109049744904,0,tested,True
ABCB10,72,0.19222047509902718,0.08504861199931728,0.29939233819873706,0.0006322850139370194,0.0009134219646983608,0.4560728396137779,0.19904850141279667,0,tested,72,0.21949129172633075,0.15851200383888045,0.2804705796137811,5.553771598306294e-10,1.2708178934030585e-09,0.25949905301712345,0.22551496223461998,0,tested,True
ABCB6,72,0.8407526105308614,0.7089461391922965,0.9725590818694262,5.561823303669414e-20,2.5295454762336913e-19,0.5609060990842661,0.8148250133337467,0,tested,72,0.8784949352526037,0.718826174790212,1.0381636957149953,6.11478907134875e-17,2.2647587493513146e-16,0.6794748441943637,0.8089763730006949,0,tested,True
ABCB7,39,0.22207152133305677,0.060559087109660764,0.38358395555645275,0.008334046632671847,0.0109272725909039,0.49824527575817584,0.1969638753560013,33,tested,72,0.05562039584516763,-0.007286394143023053,0.11852718583335832,0.08220555387906349,0.09965818342431573,0.2677015917341029,0.10681864546737496,0,tested,True
ABCB8,72,-0.9024192083425662,-1.0245473475277607,-0.7802910691573716,2.76376365122826e-23,1.728730717753936e-22,0.5197196878355768,-0.938442420219602,0,tested,72,-0.6573706354007429,-0.7468655118064815,-0.5678757589950043,3.801649293795969e-23,2.3968289562841627e-22,0.38084793184266097,-0.674471761249575,0,tested,True
ABCC1,72,0.7744483830441848,0.6955556070635696,0.8533411590248001,2.5158167905904803e-30,4.0711596548377885e-29,0.33573039906022,0.7986941812344455,0,tested,72,0.8979956679175487,0.753045438156822,1.0429458976782753,2.338195165220121e-19,1.0518282722181358e-18,0.6168397280556663,0.9275633038519149,0,tested,True
ABCC10,47,-0.02617349749916564,-0.21834960812254833,0.16600261312421705,0.7851989740140122,0.804195723385319,0.6545262643475577,-0.0838734679351987,25,tested,72,-0.34021067535815613,-0.40850554355688007,-0.2719158071594322,4.548089404074185e-15,1.469531351205958e-14,0.2906307081874836,-0.3245417862416452,0,tested,True
ABCC2,72,-0.8053441525964821,-0.9947463125076671,-0.615941992685297,2.1689984999614243e-12,5.8279491028690335e-12,0.80600615125362,-0.8101283402038975,0,tested,72,-0.9438272804720401,-1.2616978309820135,-0.6259567299620667,1.0414509648970474e-07,2.0335993117187675e-07,1.3527069550503206,-0.9363839284057001,0,tested,True
ABCC3,72,1.121873080743875,0.9799682775163212,1.2637778839714289,6.899750904730424e-25,5.1013412547649475e-24,0.6038798308713926,1.04824621131225,0,tested,72,1.5984575551170093,1.3818212824333653,1.8150938278006532,2.985039824208896e-23,1.9117727267541985e-22,0.9219016744558367,1.5860897552735098,0,tested,True
ABCC4,72,0.19167884773432864,0.08050292599887607,0.3028547694697812,0.0009847458028405184,0.0013990306768477657,0.4731122223320222,0.15200462783430002,0,tested,72,-0.13402974271194745,-0.2792824406299118,0.011222955206016877,0.06996569557115265,0.08561117768889752,0.6181268896984174,-0.06688153392952012,0,tested,False
ABCC6,72,-1.0846067480419919,-1.2429297639599475,-0.9262837321240363,1.4942357413449008e-21,7.660535101131013e-21,0.6737479909138093,-1.154264227586751,0,tested,72,-1.668568672343941,-1.9641039325613674,-1.3730334121265146,1.8916416892301527e-17,7.288666002170486e-17,1.2576585069530555,-1.6790579718167653,0,tested,True
ABCD1,72,0.5660943643196094,0.461357675668746,0.6708310529704727,1.355300641757607e-16,4.823601042481046e-16,0.445709887121228,0.619211156880448,0,tested,72,0.5958351756713737,0.49984653683434366,0.6918238145084037,2.1250161501360423e-19,9.58652006994943e-19,0.40848231820264164,0.5978693776760602,0,tested,True
ABCD3,72,-0.9994058619149584,-1.1380279630856525,-0.8607837607442643,1.0283832136090509e-22,5.984784676415086e-22,0.5899102011068612,-1.0574344668264999,0,tested,72,-0.9491718972208205,-1.0812805041773554,-0.8170632902642856,1.2345023120808485e-22,7.405066707954995e-22,0.5621918455969295,-0.95463977457739,0,tested,True
ABCE1,72,0.2335974341695709,0.20115195496712987,0.26604291337201197,1.106016963431111e-22,6.417968880337963e-22,0.13807263776612574,0.23258003101910069,0,tested,72,0.37178050532423557,0.30478935747459845,0.4387716531738727,4.140605476280967e-17,1.5563078302329035e-16,0.28508269003726155,0.40843910129886507,0,tested,True
ABCF1,72,0.007505959986819817,-0.031959548340669,0.04697146831430864,0.7056497550617084,0.7308691213899209,0.16794656665596167,0.026594425887500495,0,tested,72,-0.4191378913140155,-0.48427912652010224,-0.3539966561079288,3.611026340845906e-20,1.7422904306314363e-19,0.2772103354100355,-0.37356796668679504,0,tested,False
ABCF2,72,0.00048621836512038115,-0.038410554846076146,0.03938299157631691,0.9801849163060058,0.9823389536807667,0.1655262985746447,0.013582205275552404,0,tested,72,-0.09417923010220942,-0.16845937110113074,-0.019899089103288123,0.013693833522098804,0.01813036098194602,0.31610120280144266,-0.16879385524804524,0,tested,False
ABCF3,72,-0.06325460046371917,-0.11472039624242197,-0.01178880468501637,0.016724081581240346,0.021301600927330758,0.21901412315598073,-0.07273344981775184,0,tested,72,-0.4317961969200593,-0.5060088633225795,-0.3575835305175391,4.693046689988422e-18,1.895058033767888e-17,0.3158140627826694,-0.40234174404494527,0,tested,True
ABCG2,30,0.40061143376318425,0.23228494805812835,0.5689379194682401,3.6650675393681035e-05,5.851626769968202e-05,0.45078660775760404,0.21928491859704902,42,tested,72,0.5309198908032279,0.3198669043042444,0.7419728773022114,3.7492377494059863e-06,6.597423265311386e-06,0.8981418450475764,0.5904397825486951,0,tested,True
ABHD10,72,-1.1638681241847522,-1.2944054836853485,-1.0333307646841559,7.433200376815349e-28,7.850242040061937e-27,0.5555053584141966,-1.2151099732721489,0,tested,72,-0.8522126383674702,-0.993873033687714,-0.7105522430472264,9.663257847817663e-19,4.128214962396155e-18,0.6028397462345583,-0.9314721089311004,0,tested,True
ABHD11,72,-0.5833312734028139,-0.6682607049988671,-0.49840184180676056,1.3062449154552954e-21,6.727697760145267e-21,0.361419554671351,-0.5753930446367974,0,tested,72,-0.3927358432659339,-0.5332305734254451,-0.2522411131064227,4.212531642949038e-07,7.912019872646776e-07,0.5978792257722093,-0.42384311958395493,0,tested,True
ABHD12,72,0.3699857997409709,0.29339423470008474,0.44657736478185706,1.6127600538239473e-14,4.9848495440590456e-14,0.3259375320009238,0.34107075647330043,0,tested,72,0.14386642049941661,0.04939132452492413,0.2383415164739091,0.0033468977654271545,0.0046974653830526535,0.40204139451959964,0.13756217711124474,0,tested,True
ABHD13,22,-0.1560450707987173,-0.3471482191636218,0.03505807756618723,0.1042580425058644,0.12180029581524655,0.4310190668883524,-0.27348924097994887,50,tested,72,-0.1617681913350481,-0.22979138010003364,-0.09374500257006259,1.0601405305635146e-05,1.8103791817391317e-05,0.289474568812595,-0.16683466541376002,0,tested,True
ABHD14B,72,-0.7209050615618178,-0.7902048081250251,-0.6516053149986104,7.495239936360158e-32,1.62418449852055e-30,0.2949069959732995,-0.7473734504284495,0,tested,72,-1.1376105225023572,-1.2370928326940296,-1.0381282123106848,2.1510679056542718e-34,5.4682561799486606e-33,0.42334973367256445,-1.1903503048539599,0,tested,True
ABHD15,64,-1.5756776067335512,-1.849297705408543,-1.3020575080585592,3.936533859109471e-17,1.4579270656495136e-16,1.0953892706589148,-1.522866971706949,8,tested,72,-0.19797028649012802,-0.3198722584186894,-0.07606831456156665,0.0018303017168246776,0.0026269623248853517,0.5187572267942454,-0.13064911470716,0,tested,True
ABHD16A,24,-0.09650112911683799,-0.24247692401403487,0.049474665780358903,0.1846719273844526,0.20995053228874933,0.34569878600922505,-0.11330012291859998,48,tested,72,-0.11553858265335323,-0.1991988611241595,-0.031878304182546974,0.0074770582587800226,0.010160527605996008,0.3560186383021208,-0.11688544533833012,0,tested,True
ABHD17A,46,0.2801579493365333,0.18318982881935242,0.3771260698537142,5.790587061202339e-07,1.0576544690523042e-06,0.3265322896638491,0.25183809599424833,26,tested,72,0.6107513525345876,0.5301468499486822,0.6913558551204929,7.104559376811652e-24,4.852485508264137e-23,0.343014699164164,0.6378368021174297,0,tested,True
ABHD17B,57,-0.03293989488221214,-0.13836954517464845,0.07248975541022418,0.5339349578566221,0.5676542663092935,0.3973443614575587,-0.036546402203602,15,tested,72,-0.27475266775554463,-0.36605817534701884,-0.18344716016407042,7.527689247703062e-08,1.484074764593818e-07,0.38855312313529916,-0.2664623727466151,0,tested,True
ABHD18,32,-0.6860490022310083,-0.8201087558139827,-0.5519892486480339,1.1421482296365086e-11,2.915078399374991e-11,0.37183206027971094,-0.6801494004827993,40,tested,72,-0.14959169545563653,-0.19937640020744457,-0.09980699070382848,7.801314558361071e-08,1.536426683865725e-07,0.21186019360665667,-0.11423090499035005,0,tested,True
ABHD3,58,-0.13614869304752128,-0.245603541847071,-0.026693844247971554,0.015681506982542306,0.02003215680619391,0.4162784880639838,-0.15041042195205115,14,tested,72,-0.1999315566908559,-0.294658102893227,-0.10520501048848477,7.41005435311275e-05,0.00011881455731886241,0.40311144794718123,-0.18454102532874495,0,tested,True
ABHD4,72,-0.17897322768950705,-0.23883931780169226,-0.11910713757732182,8.828921649972974e-08,1.7173433678592256e-07,0.25476180897066575,-0.20365399274434984,0,tested,72,-0.5364765087337768,-0.6219550503186918,-0.4509979671488618,1.238374371334442e-19,5.69334832469159e-19,0.3637563074778917,-0.544275143350595,0,tested,True
ABHD5,72,0.39091879826270415,0.28735837571696965,0.49447922080843865,1.2582769898829445e-10,2.985878202340488e-10,0.44070425404560953,0.3469731492779516,0,tested,72,-0.5382323522185087,-0.6223272078830564,-0.4541374965539611,4.7014690084316757e-20,2.245540163484663e-19,0.357867993618419,-0.604216853116655,0,tested,False
ABHD6,72,-0.7145200734511549,-0.830300627707597,-0.5987395191947127,2.821820375218719e-19,1.2145570066310343e-18,0.4927073638970416,-0.822517559842801,0,tested,72,-0.8111796885479752,-1.0090462834224903,-0.61331309367346,7.939865384131681e-12,2.0468619886017342e-11,0.8420267892998252,-0.8705533105744399,0,tested,True
ABI1,45,0.25095717059501815,0.13930904895943325,0.36260529223060306,4.4731742994366216e-05,7.086587359268534e-05,0.37162370681621654,0.2472544043850035,27,tested,72,0.21557790788725853,0.14602776701982093,0.2851280487546961,3.593392075534272e-08,7.252770440110836e-08,0.2959725558884718,0.18930075048826023,0,tested,True
ABI2,72,-0.17923963776401813,-0.23890506560806465,-0.11957420991997161,7.84547710947442e-08,1.531692388389898e-07,0.25390788511615353,-0.1804193487685508,0,tested,72,-0.39774633950895394,-0.46087826119609604,-0.33461441782181184,1.0256234571798079e-19,4.743913898874737e-19,0.2686596459309616,-0.3770052085148148,0,tested,True
ABI3,72,0.8395702809779476,0.7535663126200319,0.9255742493358633,3.512995126865123e-30,5.49857723991229e-29,0.3659922757016461,0.8501096041824014,0,tested,72,1.30695547948361,1.159954642405715,1.453956316561505,8.76091918711968e-28,9.083363050331555e-27,0.6255661444398213,1.300294518105745,0,tested,True
ABL1,72,-0.026680783537227543,-0.08037179268182065,0.02701022560736557,0.32512157664788854,0.3577086060432356,0.22848358042933178,-0.05683377270925226,0,tested,72,-0.2870304739247216,-0.37344111334856855,-0.20061983450087464,5.71823261903485e-09,1.2206128564318328e-08,0.36772287571608725,-0.3512187663426001,0,tested,True
ABL2,71,0.2711673178110449,0.2026331415048255,0.33970149411726436,2.8960348766225295e-11,7.195621079037602e-11,0.2895449702220198,0.25228190230660597,1,tested,72,0.7470340490879407,0.6450485220691035,0.8490195761067779,4.4134575506036766e-23,2.768785724999304e-22,0.43400224239560403,0.7489155022709051,0,tested,True
ABLIM1,72,-0.8431007007092379,-0.9384236382490542,-0.7477777631694217,1.1848333181136233e-27,1.2093013917226838e-26,0.40564940784563525,-0.858444132951748,0,tested,72,-0.7469243683620055,-0.8685911877761939,-0.625257548947817,3.638958016124436e-19,1.606938845253278e-18,0.5177565287390795,-0.6875218673954997,0,tested,True
ABLIM3,50,1.1589126226278765,0.9702633202169382,1.347561925038815,1.1817927081121056e-16,4.2270681784273635e-16,0.6637979934080337,1.0835772725219475,22,tested,72,1.2836776151015181,1.0598952515697309,1.5074599786333054,9.097555650549527e-18,3.587515982895049e-17,0.9523120625090755,1.20332143429674,0,tested,True
ABO,35,-0.2303061101738235,-0.42671819846379316,-0.03389402188385382,0.0229071908305299,0.02879144922517417,0.5717764665427877,-0.183006695794003,37,tested,72,-1.5746240614934033,-1.7722795892488252,-1.3769685337379813,4.5123840884993115e-25,3.479439717875686e-24,0.8411285873131302,-1.5643019008638093,0,tested,True
ABR,20,0.6402780495486258,0.437796830438682,0.8427592686585695,2.4760824457198006e-06,4.315460162068929e-06,0.43263885968559307,0.749550516946554,52,tested,72,0.030467687829832637,-0.12427697580599426,0.18521235146565954,0.6958002141494879,0.7222754160963267,0.6585202134053554,0.054044429293724994,0,tested,True
ABRACL,72,-0.27615984104581665,-0.38781810909900105,-0.16450157299263227,5.1770222948829695e-06,8.796115949967965e-06,0.4751648604820236,-0.22122304284104802,0,tested,72,-0.22219864562359984,-0.3806040984904082,-0.06379319275679143,0.006633690219818538,0.009059801733092688,0.67409880363895,-0.20721412246251503,0,tested,True
