label,risk_rhc,risk_no_rhc,rd,rr,n,changed_scores,max_weight
PS clip 0,0.36526230567298285,0.3155690459199707,0.04969325975301214,1.1574719079564428,5735,0.0,20.730773109686393
PS clip 0.01,0.36526230567298285,0.3155704946192053,0.04969181105377757,1.1574665943143385,5735,20.0,20.730773109686393
PS clip 0.02,0.36555915734888567,0.3155699913249315,0.049989166023954146,1.1584091244356693,5735,85.0,19.040976460331297
PS clip 0.05,0.36847117225522036,0.3156185015608915,0.05285267069432886,1.1674574539608609,5735,424.0,12.38360941586747
missing indicators,0.35730508525282767,0.32005697409252026,0.03724811116030741,1.116379626677155,5735,,
omit sparse fields,0.3673513618592939,0.3144482296723354,0.052903132186958524,1.1682411513083892,5735,,
