gene,n,mean_difference,sd_difference,tumor_nonfinite,normal_nonfinite,status,ci95_low,ci95_high,t,p,q,finite_fraction,abs_effect_rank
ABCC4,72,0.19167884773432864,0.4731122223320222,0,0,tested,0.08050292599887607,0.3028547694697812,3.437765671110046,0.0009847458028405184,0.0013220774622566321,1.0,5003.0
ABCC5,10,0.12402514068022027,0.53275371845736,62,62,below_cohort_completeness,,,,,,0.1388888888888889,
ABCC6,72,-1.0846067480419919,0.6737479909138093,0,0,tested,-1.2429297639599475,-0.9262837321240363,-13.6596970405089,1.4942357413449008e-21,6.1938109422500415e-21,1.0,798.0
ABCC9,16,0.3548941929755749,0.7237071010612204,56,56,below_cohort_completeness,,,,,,0.2222222222222222,
ABCD1,72,0.5660943643196094,0.445709887121228,0,0,tested,0.461357675668746,0.6708310529704727,10.777122304033869,1.355300641757607e-16,3.9606645024367804e-16,1.0,2289.0
ABCD3,72,-0.9994058619149584,0.5899102011068612,0,0,tested,-1.1380279630856525,-0.8607837607442643,-14.375476012281503,1.0283832136090509e-22,4.8295034416369075e-22,1.0,946.0
ABCE1,72,0.2335974341695709,0.13807263776612574,0,0,tested,0.20115195496712987,0.26604291337201197,14.355776707811051,1.106016963431111e-22,5.178988734578006e-22,1.0,4547.0
ABCF1,72,0.007505959986819817,0.16794656665596167,0,0,tested,-0.031959548340669,0.04697146831430864,0.3792288448647565,0.7056497550617084,0.7276024999701701,1.0,7929.0
ABCF2,72,0.00048621836512038115,0.1655262985746447,0,0,tested,-0.038410554846076146,0.03938299157631691,0.02492473808026462,0.9801849163060058,0.9817695953150815,1.0,8045.0
ABCF3,72,-0.06325460046371917,0.21901412315598073,0,0,tested,-0.11472039624242197,-0.01178880468501637,-2.45067795361964,0.016724081581240346,0.020451830102537163,1.0,6959.0
ABCG2,30,0.40061143376318425,0.45078660775760404,42,42,below_cohort_completeness,,,,,,0.4166666666666667,
ABHD10,72,-1.1638681241847522,0.5555053584141966,0,0,tested,-1.2944054836853485,-1.0333307646841559,-17.777953653601468,7.433200376815349e-28,6.321752464083508e-27,1.0,692.0
ABHD11,72,-0.5833312734028139,0.361419554671351,0,0,tested,-0.6682607049988671,-0.49840184180676056,-13.695246771350522,1.3062449154552954e-21,5.439760366637513e-21,1.0,2211.0
ABHD12,72,0.3699857997409709,0.3259375320009238,0,0,tested,0.29339423470008474,0.44657736478185706,9.632010146244598,1.6127600538239473e-14,4.156534231519383e-14,1.0,3379.0
ABHD13,22,-0.1560450707987173,0.4310190668883524,50,50,below_cohort_completeness,,,,,,0.3055555555555556,
ABHD14A,12,-0.4387334209170754,0.6019817022998685,60,60,below_cohort_completeness,,,,,,0.16666666666666666,
ABHD14B,72,-0.7209050615618178,0.2949069959732995,0,0,tested,-0.7902048081250251,-0.6516053149986104,-20.742411590732946,7.495239936360158e-32,1.3038156036165165e-30,1.0,1714.0
ABHD15,64,-1.5756776067335512,1.0953892706589148,8,8,tested,-1.849297705408543,-1.3020575080585592,-11.507708895382743,3.936533859109471e-17,1.1941560716108354e-16,0.8888888888888888,247.0
ABHD16A,24,-0.09650112911683799,0.34569878600922505,48,48,below_cohort_completeness,,,,,,0.3333333333333333,
ABHD17A,46,0.2801579493365333,0.3265322896638491,26,26,below_cohort_completeness,,,,,,0.6388888888888888,
ABHD17B,57,-0.03293989488221214,0.3973443614575587,15,15,below_cohort_completeness,,,,,,0.7916666666666666,
ABHD17C,8,0.016425566030474292,1.1312099202833743,64,64,below_cohort_completeness,,,,,,0.1111111111111111,
ABHD18,32,-0.6860490022310083,0.37183206027971094,40,40,below_cohort_completeness,,,,,,0.4444444444444444,
ABHD2,11,-0.0865132968255905,0.5128076174391105,61,61,below_cohort_completeness,,,,,,0.1527777777777778,
ABHD3,58,-0.13614869304752128,0.4162784880639838,14,14,tested,-0.245603541847071,-0.026693844247971554,-2.4908266572508078,0.015681506982542306,0.019238211308057234,0.8055555555555556,5750.0
ABHD4,72,-0.17897322768950705,0.25476180897066575,0,0,tested,-0.23883931780169226,-0.11910713757732182,-5.961011980316071,8.828921649972974e-08,1.5177830302856419e-07,1.0,5147.0
ABHD5,72,0.39091879826270415,0.44070425404560953,0,0,tested,0.28735837571696965,0.49447922080843865,7.526716539012484,1.2582769898829445e-10,2.5565496661244285e-10,1.0,3218.0
