gene,n,mean_difference,sd_difference,tumor_nonfinite,normal_nonfinite,status,ci95_low,ci95_high,t,p,q,finite_fraction,abs_effect_rank
DCAF1,37,-0.7041667233784312,0.19634849623119102,0,0,tested,-0.7696325713914866,-0.6387008753653759,-21.814676670636864,2.4219454032884397e-22,1.2940987938757297e-20,1.0,4222.0
DCAF10,37,-0.3670708125523338,0.2102005811207527,0,0,tested,-0.4371551756110874,-0.2969864494935802,-10.622256954069938,1.2084296551456855e-12,6.300288568655083e-12,1.0,7743.0
DCAF11,37,-1.0262977876280766,0.36106078449353796,0,0,tested,-1.1466814467588136,-0.9059141284973397,-17.28995780106314,5.105936929264392e-19,1.093757610611959e-17,1.0,2525.0
DCAF12,37,0.17444295043868213,0.21536575678691472,0,0,tested,0.1026364320713208,0.24624946880604348,4.926944090062304,1.8778226924378877e-05,3.789099234847733e-05,1.0,11741.0
DCAF12L1,37,-0.30828174070764036,0.6892721957487561,0,0,tested,-0.5380965326344492,-0.07846694878083149,-2.720557470208866,0.009973222455513341,0.014519974041412781,1.0,8751.0
DCAF12L2,37,-0.09448898946763827,0.11650233327230786,0,0,tested,-0.1333328013101842,-0.055645177625092336,-4.933412649479613,1.8411301553656185e-05,3.718233705823262e-05,1.0,14023.0
DCAF13,37,-0.24017374403529923,0.28903104852260975,0,0,tested,-0.3365414935053834,-0.14380599456521503,-5.054542958090095,1.2716067409554875e-05,2.6180952982663597e-05,1.0,10135.0
DCAF15,37,0.28693424958415403,0.2802671264702164,0,0,tested,0.19348853720675374,0.3803799619615543,6.227462078807897,3.455203633699127e-07,8.481076658632104e-07,1.0,9162.0
DCAF16,37,0.05723859035304515,0.21382727902571225,0,0,tested,-0.014054973990121601,0.1285321546962119,1.6282709777395878,0.11218900466932946,0.13985731386807926,1.0,15289.0
DCAF17,37,-0.22633987561770944,0.19771092194022324,0,0,tested,-0.29225997897831557,-0.1604197722571033,-6.963559225807574,3.664921471532926e-08,1.0049578085538604e-07,1.0,10441.0
DCAF4,37,-0.33267211943909697,0.3348541199338182,0,0,tested,-0.44431804157705523,-0.2210261973011387,-6.043125595704117,6.086448636872251e-07,1.4534171943749354e-06,1.0,8303.0
DCAF4L1,37,-0.1893176392632882,0.1379001388927508,0,0,tested,-0.23529583470157817,-0.14333944382499825,-8.350783774995755,6.065940472034187e-10,2.089170867234644e-09,1.0,11365.0
DCAF4L2,37,0.0016379168031607865,0.0071216627658407675,0,0,tested,-0.0007365637820116522,0.004012397388333225,1.3989793234524297,0.17037626604379663,0.20533081059053285,1.0,18491.0
DCAF5,37,-0.2685677943113951,0.22413878174828686,0,0,tested,-0.34329938483240147,-0.19383620379038874,-7.288493777559669,1.3784424488595806e-08,3.9812549885751974e-08,1.0,9512.0
DCAF6,37,0.023672045135220702,0.25892543218328307,0,0,tested,-0.06265799209647137,0.11000208236691277,0.5561115721615284,0.5815748956991016,0.6229395295400932,1.0,16741.0
DCAF7,37,-0.47243018662857655,0.24924884535345332,0,0,tested,-0.555533889180624,-0.38932648407652914,-11.52936389065718,1.215258960324999e-13,7.494823356552774e-13,1.0,6319.0
DCAF8,37,-0.26887843994622235,0.1734183652698909,0,0,tested,-0.32669900165841187,-0.21105787823403283,-9.431087054502887,2.9009251803014252e-11,1.216112583896309e-10,1.0,9506.0
DCAF8L1,37,-0.009857120460303164,0.01829876768716554,0,0,tested,-0.01595823336530685,-0.0037560075552994787,-3.2766426689280266,0.0023301420994468708,0.0036679958231555895,1.0,17604.0
DCAF8L2,37,-0.0004365694664759459,0.0026555483925521668,0,0,tested,-0.001321973382447047,0.00044883444949515524,-1.0000000000000007,0.32398502626512693,0.36614547241470363,1.0,18807.0
DCAKD,37,-0.27793590749458535,0.2513458017348507,0,0,tested,-0.36173877011350153,-0.1941330448756692,-6.726263626698486,7.525619788315159e-08,1.9875327882711704e-07,1.0,9335.0
DCANP1,37,-0.0003800859983526703,0.002311972869070614,0,0,tested,-0.0011509361314683863,0.00039076413476304576,-0.9999999999999999,0.3239850262651274,0.36614547241470363,1.0,18821.0
DCBLD1,37,0.2873996749107632,0.3843526888666753,0,0,tested,0.1592501082182438,0.41554924160328255,4.54838491938713,5.918381895563626e-05,0.00011241835062722031,1.0,9154.0
DCBLD2,37,-0.2972408031971945,0.5445398744728905,0,0,tested,-0.47879943666549335,-0.11568216972889561,-3.3203173999219295,0.0020685017545019327,0.0032771346583804384,1.0,8968.0
