gene,protein_n,protein_mean_difference,protein_sd_difference,protein_tumor_nonfinite,protein_normal_nonfinite,protein_status,protein_ci95_low,protein_ci95_high,protein_t,protein_p,protein_q,rna_n,rna_mean_difference,rna_sd_difference,rna_tumor_nonfinite,rna_normal_nonfinite,rna_status,rna_ci95_low,rna_ci95_high,rna_t,rna_p,rna_q,same_direction,joint_pair_n,joint_protein_mean,joint_rna_mean
ABCD1,72,0.5660943643196094,0.445709887121228,0,0,tested,0.461357675668746,0.6708310529704727,10.777122304033869,1.355300641757607e-16,4.823601042481046e-16,72,0.5958351756713737,0.40848231820264164,0,0,tested,0.49984653683434366,0.6918238145084037,12.377106408146547,2.1250161501360423e-19,9.58652006994943e-19,True,72.0,0.5660943643196099,0.5958351756713736
ABCD3,72,-0.9994058619149584,0.5899102011068612,0,0,tested,-1.1380279630856525,-0.8607837607442643,-14.375476012281503,1.0283832136090509e-22,5.984784676415086e-22,72,-0.9491718972208205,0.5621918455969295,0,0,tested,-1.0812805041773554,-0.8170632902642856,-14.326053790209054,1.2345023120808485e-22,7.405066707954995e-22,True,72.0,-0.9994058619149584,-0.9491718972208198
ABCE1,72,0.2335974341695709,0.13807263776612574,0,0,tested,0.20115195496712987,0.26604291337201197,14.355776707811051,1.106016963431111e-22,6.417968880337963e-22,72,0.37178050532423557,0.28508269003726155,0,0,tested,0.30478935747459845,0.4387716531738727,11.06577953477432,4.140605476280967e-17,1.5563078302329035e-16,True,72.0,0.2335974341695709,0.3717805053242355
ABCF1,72,0.007505959986819817,0.16794656665596167,0,0,tested,-0.031959548340669,0.04697146831430864,0.3792288448647565,0.7056497550617084,0.7308691213899209,72,-0.4191378913140155,0.2772103354100355,0,0,tested,-0.48427912652010224,-0.3539966561079288,-12.8296188421108,3.611026340845906e-20,1.7422904306314363e-19,False,72.0,0.007505959986819816,-0.4191378913140155
ABCF2,72,0.00048621836512038115,0.1655262985746447,0,0,tested,-0.038410554846076146,0.03938299157631691,0.02492473808026462,0.9801849163060058,0.9823389536807667,72,-0.09417923010220942,0.31610120280144266,0,0,tested,-0.16845937110113074,-0.019899089103288123,-2.5281057457044223,0.013693833522098804,0.01813036098194602,False,72.0,0.00048621836512038267,-0.09417923010220947
ABCF3,72,-0.06325460046371917,0.21901412315598073,0,0,tested,-0.11472039624242197,-0.01178880468501637,-2.45067795361964,0.016724081581240346,0.021301600927330758,72,-0.4317961969200593,0.3158140627826694,0,0,tested,-0.5060088633225795,-0.3575835305175391,-11.601485364235307,4.693046689988422e-18,1.895058033767888e-17,True,72.0,-0.06325460046371918,-0.43179619692005927
ABCG2,30,0.40061143376318425,0.45078660775760404,42,42,tested,0.23228494805812835,0.5689379194682401,4.8675784792739645,3.6650675393681035e-05,5.851626769968202e-05,72,0.5309198908032279,0.8981418450475764,0,0,tested,0.3198669043042444,0.7419728773022114,5.015916678959285,3.7492377494059863e-06,6.597423265311386e-06,True,30.0,0.4006114337631842,0.5715021133795359
ABHD10,72,-1.1638681241847522,0.5555053584141966,0,0,tested,-1.2944054836853485,-1.0333307646841559,-17.777953653601468,7.433200376815349e-28,7.850242040061937e-27,72,-0.8522126383674702,0.6028397462345583,0,0,tested,-0.993873033687714,-0.7105522430472264,-11.995333871726167,9.663257847817663e-19,4.128214962396155e-18,True,72.0,-1.1638681241847517,-0.8522126383674703
ABHD11,72,-0.5833312734028139,0.361419554671351,0,0,tested,-0.6682607049988671,-0.49840184180676056,-13.695246771350522,1.3062449154552954e-21,6.727697760145267e-21,72,-0.3927358432659339,0.5978792257722093,0,0,tested,-0.5332305734254451,-0.2522411131064227,-5.573824933549326,4.212531642949038e-07,7.912019872646776e-07,True,72.0,-0.583331273402814,-0.3927358432659338
ABHD12,72,0.3699857997409709,0.3259375320009238,0,0,tested,0.29339423470008474,0.44657736478185706,9.632010146244598,1.6127600538239473e-14,4.9848495440590456e-14,72,0.14386642049941661,0.40204139451959964,0,0,tested,0.04939132452492413,0.2383415164739091,3.036371564924919,0.0033468977654271545,0.0046974653830526535,True,72.0,0.369985799740971,0.14386642049941667
ABHD13,22,-0.1560450707987173,0.4310190668883524,50,50,tested,-0.3471482191636218,0.03505807756618723,-1.6981064540856055,0.1042580425058644,0.12180029581524655,72,-0.1617681913350481,0.289474568812595,0,0,tested,-0.22979138010003364,-0.09374500257006259,-4.741862563298933,1.0601405305635146e-05,1.8103791817391317e-05,True,22.0,-0.1560450707987173,-0.15083972031919948
ABHD14A,12,-0.4387334209170754,0.6019817022998685,60,60,insufficient_pairs,,,,,,72,-1.6387979023375179,0.6527440300075333,0,0,tested,-1.792185229419661,-1.4854105752553748,-21.30339103474496,1.4598094062962192e-32,2.8411746019163367e-31,True,12.0,-0.4387334209170754,-1.7314127514523558
ABHD14B,72,-0.7209050615618178,0.2949069959732995,0,0,tested,-0.7902048081250251,-0.6516053149986104,-20.742411590732946,7.495239936360158e-32,1.62418449852055e-30,72,-1.1376105225023572,0.42334973367256445,0,0,tested,-1.2370928326940296,-1.0381282123106848,-22.801349829578566,2.1510679056542718e-34,5.4682561799486606e-33,True,72.0,-0.7209050615618178,-1.137610522502357
ABHD15,64,-1.5756776067335512,1.0953892706589148,8,8,tested,-1.849297705408543,-1.3020575080585592,-11.507708895382743,3.936533859109471e-17,1.4579270656495136e-16,72,-0.19797028649012802,0.5187572267942454,0,0,tested,-0.3198722584186894,-0.07606831456156665,-3.238188304360006,0.0018303017168246776,0.0026269623248853517,True,64.0,-1.5756776067335512,-0.1885848778887364
ABHD16A,24,-0.09650112911683799,0.34569878600922505,48,48,tested,-0.24247692401403487,0.049474665780358903,-1.3675403877893972,0.1846719273844526,0.20995053228874933,72,-0.11553858265335323,0.3560186383021208,0,0,tested,-0.1991988611241595,-0.031878304182546974,-2.7537248838148303,0.0074770582587800226,0.010160527605996008,True,24.0,-0.09650112911683799,-0.1074841103643278
ABHD17A,46,0.2801579493365333,0.3265322896638491,26,26,tested,0.18318982881935242,0.3771260698537142,5.819098814858876,5.790587061202339e-07,1.0576544690523042e-06,72,0.6107513525345876,0.343014699164164,0,0,tested,0.5301468499486822,0.6913558551204929,15.108381910690358,7.104559376811652e-24,4.852485508264137e-23,True,46.0,0.28015794933653326,0.6613374874093796
ABHD17B,57,-0.03293989488221214,0.3973443614575587,15,15,tested,-0.13836954517464845,0.07248975541022418,-0.6258821737488962,0.5339349578566221,0.5676542663092935,72,-0.27475266775554463,0.38855312313529916,0,0,tested,-0.36605817534701884,-0.18344716016407042,-6.000089963031063,7.527689247703062e-08,1.484074764593818e-07,True,57.0,-0.03293989488221215,-0.2615623266293056
ABHD17C,8,0.016425566030474292,1.1312099202833743,64,64,insufficient_pairs,,,,,,72,-1.5429076661424042,0.4459491259933188,0,0,tested,-1.6477005731720458,-1.4381147591127625,-29.357621572923964,1.91648288985196e-41,1.4813789492087406e-39,False,8.0,0.016425566030474292,-1.5727240668537472
ABHD18,32,-0.6860490022310083,0.37183206027971094,40,40,tested,-0.8201087558139827,-0.5519892486480339,-10.437182879580348,1.1421482296365086e-11,2.915078399374991e-11,72,-0.14959169545563653,0.21186019360665667,0,0,tested,-0.19937640020744457,-0.09980699070382848,-5.991345545294539,7.801314558361071e-08,1.536426683865725e-07,True,32.0,-0.6860490022310084,-0.16800145599277472
ABHD2,11,-0.0865132968255905,0.5128076174391105,61,61,insufficient_pairs,,,,,,72,-0.13057235823366561,0.34081813043914694,0,0,tested,-0.21066069247486974,-0.050484023992461505,-3.2508340970092617,0.0017609822896765515,0.0025308047946640184,True,11.0,-0.0865132968255905,-0.29078620811513917
ABHD3,58,-0.13614869304752128,0.4162784880639838,14,14,tested,-0.245603541847071,-0.026693844247971554,-2.4908266572508078,0.015681506982542306,0.02003215680619391,72,-0.1999315566908559,0.40311144794718123,0,0,tested,-0.294658102893227,-0.10520501048848477,-4.208452830478105,7.41005435311275e-05,0.00011881455731886241,True,58.0,-0.1361486930475213,-0.1560030681740831
ABHD4,72,-0.17897322768950705,0.25476180897066575,0,0,tested,-0.23883931780169226,-0.11910713757732182,-5.961011980316071,8.828921649972974e-08,1.7173433678592256e-07,72,-0.5364765087337768,0.3637563074778917,0,0,tested,-0.6219550503186918,-0.4509979671488618,-12.514296064960801,1.238374371334442e-19,5.69334832469159e-19,True,72.0,-0.17897322768950708,-0.5364765087337768
ABHD5,72,0.39091879826270415,0.44070425404560953,0,0,tested,0.28735837571696965,0.49447922080843865,7.526716539012484,1.2582769898829445e-10,2.985878202340488e-10,72,-0.5382323522185087,0.357867993618419,0,0,tested,-0.6223272078830564,-0.4541374965539611,-12.761836863684435,4.7014690084316757e-20,2.245540163484663e-19,False,72.0,0.3909187982627042,-0.5382323522185086
ABHD6,72,-0.7145200734511549,0.4927073638970416,0,0,tested,-0.830300627707597,-0.5987395191947127,-12.305283653202292,2.821820375218719e-19,1.2145570066310343e-18,72,-0.8111796885479752,0.8420267892998252,0,0,tested,-1.0090462834224903,-0.61331309367346,-8.174428640352769,7.939865384131681e-12,2.0468619886017342e-11,True,72.0,-0.714520073451155,-0.8111796885479754
ABI1,45,0.25095717059501815,0.37162370681621654,27,27,tested,0.13930904895943325,0.36260529223060306,4.530044364222875,4.4731742994366216e-05,7.086587359268534e-05,72,0.21557790788725853,0.2959725558884718,0,0,tested,0.14602776701982093,0.2851280487546961,6.180435212994429,3.593392075534272e-08,7.252770440110836e-08,True,45.0,0.25095717059501815,0.2453671628230646
ABI2,72,-0.17923963776401813,0.25390788511615353,0,0,tested,-0.23890506560806465,-0.11957420991997161,-5.989962695126762,7.84547710947442e-08,1.531692388389898e-07,72,-0.39774633950895394,0.2686596459309616,0,0,tested,-0.46087826119609604,-0.33461441782181184,-12.562324329029229,1.0256234571798079e-19,4.743913898874737e-19,True,72.0,-0.1792396377640182,-0.39774633950895405
ABI3,72,0.8395702809779476,0.3659922757016461,0,0,tested,0.7535663126200319,0.9255742493358633,19.464864535430358,3.512995126865123e-30,5.49857723991229e-29,72,1.30695547948361,0.6255661444398213,0,0,tested,1.159954642405715,1.453956316561505,17.727757624978295,8.76091918711968e-28,9.083363050331555e-27,True,72.0,0.8395702809779474,1.3069554794836098
ABL1,72,-0.026680783537227543,0.22848358042933178,0,0,tested,-0.08037179268182065,0.02701022560736557,-0.9908543763762921,0.32512157664788854,0.3577086060432356,72,-0.2870304739247216,0.36772287571608725,0,0,tested,-0.37344111334856855,-0.20061983450087464,-6.623287521858567,5.71823261903485e-09,1.2206128564318328e-08,True,72.0,-0.026680783537227547,-0.2870304739247216
ABL2,71,0.2711673178110449,0.2895449702220198,1,1,tested,0.2026331415048255,0.33970149411726436,7.891335262064284,2.8960348766225295e-11,7.195621079037602e-11,72,0.7470340490879407,0.43400224239560403,0,0,tested,0.6450485220691035,0.8490195761067779,14.60544090200795,4.4134575506036766e-23,2.768785724999304e-22,True,71.0,0.2711673178110449,0.7365557137907884
ABLIM1,72,-0.8431007007092379,0.40564940784563525,0,0,tested,-0.9384236382490542,-0.7477777631694217,-17.635787293095046,1.1848333181136233e-27,1.2093013917226838e-26,72,-0.7469243683620055,0.5177565287390795,0,0,tested,-0.8685911877761939,-0.625257548947817,-12.241011129810328,3.638958016124436e-19,1.606938845253278e-18,True,72.0,-0.8431007007092377,-0.7469243683620057
ABLIM2,15,-0.47404792149725294,0.553960567822776,57,57,insufficient_pairs,,,,,,72,-0.16861622116608246,0.5463202684607935,0,0,tested,-0.2969951903449086,-0.040237251987256306,-2.618896210616664,0.010777415334877891,0.014433902844957255,True,15.0,-0.4740479214972529,-0.1722112679217251
