gene,n,mean_difference,sd_difference,tumor_nonfinite,normal_nonfinite,status,ci95_low,ci95_high,t,p,q
TMEM201,72,0.27366823597451095,0.37481935656653376,0,0,tested,0.18559000530616496,0.3617464666428569,6.195389711745159,3.378798284569024e-08,6.78668332113734e-08
TMEM205,72,0.08550743149231368,0.41779769532906025,0,0,tested,-0.012670213651165413,0.18368507663579278,1.7366170850446128,0.08679190609263157,0.10220460021448034
TMEM206,28,-0.7998337885286322,0.4549689822891622,44,44,tested,-0.9762523426854199,-0.6234152343718444,-9.302442043349803,6.543074043578535e-10,1.4762010766634458e-09
TMEM208,0,,,72,72,insufficient_pairs,,,,,
TMEM209,68,0.0691226063538678,0.2896597654284936,4,4,tested,-0.000989993724582694,0.1392352064323183,1.96782460755906,0.05322924108492838,0.0641038261679374
TMEM214,72,0.5333752979816587,0.39653098268769604,0,0,tested,0.4401950853046937,0.6265555106586238,11.413583500503472,1.0036610492682457e-17,3.886426594870054e-17
TMEM219,15,-0.05331121387463237,0.4471417243365119,57,57,insufficient_pairs,,,,,
TMEM222,72,0.17191690958331243,0.40468207079571333,0,0,tested,0.07682128510597384,0.267012534060651,3.604714555146013,0.0005765937219648654,0.0008356153130829835
TMEM223,69,-0.3560643706509506,0.32673888765153325,3,3,tested,-0.43455562170051204,-0.27757311960138914,-9.052160332805164,2.717933153878951e-13,7.722748041027334e-13
TMEM230,72,0.43678291544303893,0.3913702668351758,0,0,tested,0.3448154115371359,0.528750419348942,9.469870991899603,3.198887196625343e-14,9.678659603058524e-14
TMEM231,9,0.11797156673699918,0.18586641325630393,63,63,insufficient_pairs,,,,,
TMEM237,12,0.1710353767743001,0.24837872436928882,60,60,insufficient_pairs,,,,,
TMEM238,40,-0.8018259233294771,0.4961878143142571,32,32,tested,-0.9605144849456785,-0.6431373617132757,-10.220308244340668,1.375516857357501e-12,3.738976057943053e-12
TMEM243,44,2.220346752388709,0.6314194180680442,28,28,tested,2.028377703227386,2.4123158015500317,23.32540581247666,4.9102731754707365e-26,4.0917583695596263e-25
TMEM245,72,-0.46402245617380433,0.3476128509417514,0,0,tested,-0.5457074714542095,-0.38233744089339916,-11.32685714562316,1.4273492777771716e-17,5.457659189095794e-17
TMEM246,24,0.8941481668477951,0.5456293042742891,48,48,tested,0.6637491182132464,1.1245472154823437,8.028185971921454,4.037813661894572e-08,8.050752080641543e-08
TMEM252,23,-0.005782313885560735,0.480054241998943,49,49,tested,-0.21337333512456344,0.20180870735344195,-0.057766395511034956,0.954456184036963,0.9582766831224706
TMEM256,37,-0.2338571604497922,0.5038074197275545,35,35,tested,-0.40183491735045473,-0.06587940354912972,-2.8234946873056836,0.00769258564548202,0.010123257054186924
TMEM258,26,-0.2993869683783046,0.5799515257854017,46,46,tested,-0.5336344590770669,-0.06513947767954234,-2.632254466110739,0.014328546842674924,0.01838106514161329
TMEM259,59,0.031181890502493828,0.3331858206314187,13,13,tested,-0.05564680726206235,0.11801058826705,0.7188560581294721,0.47511587017228196,0.5090056086960496
TMEM26,8,-0.85307331621995,0.28993767668690407,64,64,insufficient_pairs,,,,,
TMEM260,47,0.13724592939048505,0.6208949965285929,25,25,tested,-0.04505567107672459,0.3195475298576947,1.5154103229576688,0.1365106102884423,0.157426546324591
TMEM263,72,0.5853639503299637,0.3106782371359946,0,0,tested,0.5123581437868806,0.6583697568730468,15.987530606179329,3.150757548479696e-25,2.4130954567860147e-24
TMEM30A,72,0.46208118595866954,0.37281158589279206,0,0,tested,0.3744747582680322,0.5496876136493068,10.517078945418508,3.9720403267892543e-16,1.3633760040600955e-15
TMEM30B,30,-0.07799521994598227,0.5020075306885357,42,42,tested,-0.2654479126038617,0.10945747271189718,-0.85097809754763,0.4017536906547978,0.43590297159506725
TMEM33,72,-0.21312161114142805,0.37347584871570494,0,0,tested,-0.3008841329427774,-0.12535908934007872,-4.842071699374199,7.270552145955639e-06,1.2226344279337245e-05
TMEM35B,30,0.19592951925649985,0.3759636658408723,42,42,tested,0.05554237923344643,0.33631665927955323,2.8543986328548345,0.00788097281517897,0.010352160284719901
TMEM37,24,-0.05458453772455054,0.6373652845332958,48,48,tested,-0.3237202935184489,0.21455121806934782,-0.41955302089837404,0.6787050065228818,0.7052767820242437
TMEM38A,27,-0.4856272322227,0.7346497789952845,44,43,tested,-0.7762450057157055,-0.19500945872969438,-3.434824580900739,0.002000873019035845,0.002762834984859157
TMEM38B,19,-0.05012493434879991,0.46575380180235953,53,53,insufficient_pairs,,,,,
TMEM39A,14,0.3578335988255286,0.3539374890269751,58,58,insufficient_pairs,,,,,
TMEM39B,11,0.4696926996331465,0.3266358820443837,61,61,insufficient_pairs,,,,,
TMEM41A,69,0.031623099941041045,0.5147149012297483,3,3,tested,-0.09202492010872307,0.15527111999080515,0.5103430966581717,0.611463810094163,0.6417171973509139
TMEM41B,72,-0.029034969047055666,0.4076940922594056,0,0,tested,-0.12483838386822088,0.06676844577410954,-0.6043008391198756,0.5475698780571867,0.580429855947993
TMEM43,72,0.6501502023793932,0.2857958810078653,0,0,tested,0.5829914628680158,0.7173089418907707,19.30296330112427,5.7922627897795836e-30,8.64788282289562e-29
TMEM45B,4,-0.08904659244154833,0.6296806290820591,68,68,insufficient_pairs,,,,,
TMEM47,13,-0.05405353177949242,0.6863492652947324,59,59,insufficient_pairs,,,,,
TMEM50A,8,-0.12479729793766171,0.41536701626883593,64,64,insufficient_pairs,,,,,
TMEM51,72,-0.5947522833054836,0.5088952235755619,0,0,tested,-0.7143367980933463,-0.4751677685176208,-9.916855647336497,4.863361749852622e-15,1.562411413265173e-14
TMEM56,4,0.06321898111279908,0.5610634994377518,68,68,insufficient_pairs,,,,,
TMEM59,68,0.07732341817444098,0.3954508141405741,4,4,tested,-0.01839607100459824,0.1730429073534802,1.6124008805489198,0.11157567928697862,0.13001611966158613
TMEM62,50,0.4504232941567244,0.3821575833136065,22,22,tested,0.34181531067515003,0.5590312776382987,8.334189339930939,5.91750120337959e-11,1.442076501664013e-10
TMEM63A,72,-0.2839598972754446,0.44266302431841037,0,0,tested,-0.3879806082691782,-0.17993918628171096,-5.443146355158124,7.082719505143784e-07,1.2840788723366026e-06
TMEM63B,72,0.44643247601579883,0.43620023231710586,0,0,tested,0.34393044668745937,0.5489345053441382,8.684326355053873,9.005840557693051e-13,2.473390806805906e-12
