gene,n,mean_difference,sd_difference,tumor_nonfinite,normal_nonfinite,status,ci95_low,ci95_high,t,p,q
C18orf32,72,-0.10331473185519115,0.26153007575549203,0,0,tested,-0.16477128668766094,-0.04185817702272134,-3.3520220087991017,0.001288735825656363,0.0018749282115421379
C18orf54,72,0.5043269339197616,0.4087236412302964,0,0,tested,0.4082815869514065,0.6003722808881167,10.470047502109093,4.82799684545369e-16,1.668563431775753e-15
C18orf63,72,0.14944584214823362,0.22985034203849602,0,0,tested,0.09543365977133109,0.20345802452513614,5.517024728313959,5.282664430196543e-07,9.850923226457512e-07
C18orf8,72,-0.016331718229437266,0.36226403017027275,0,0,tested,-0.10145959183891576,0.06879615538004122,-0.3825365284994511,0.7032062024076076,0.7295649246388398
C19orf12,72,-0.2444173164804751,0.4843861840815606,0,0,tested,-0.35824248934483965,-0.13059214361611055,-4.281603751778228,5.714055371258472e-05,9.241538052605243e-05
C19orf18,72,-0.2934857625005934,0.3705352437431533,0,0,tested,-0.38055727601077693,-0.2064142489904098,-6.720843202372177,3.800735754465078e-09,8.221020403953299e-09
C19orf24,72,0.3805685736120844,0.4417696074175206,0,0,tested,0.2767578052974066,0.4843793419267622,7.309763675614703,3.164205966943626e-10,7.385218664714993e-10
C19orf25,72,0.1236631470195095,0.2903048623048464,0,0,tested,0.055444848849281816,0.1918814451897372,3.6145333211212023,0.0005584694166205514,0.0008366261685212152
C19orf33,72,2.2445120875441633,1.3208050844655295,0,0,tested,1.9341381090945504,2.5548860659937764,14.41947554161529,8.742531037113197e-23,5.329888671712326e-22
C19orf35,72,0.16993672861670828,0.16932873770557733,0,0,tested,0.13014642601592918,0.20972703121748737,8.515748582722082,1.848687289563679e-12,4.9735128481965705e-12
C19orf38,72,0.7342674841504958,0.40748075971016234,0,0,tested,0.6385142000206947,0.8300207682802969,15.290209558367602,3.699989168970378e-24,2.5961363117332742e-23
C19orf43,72,0.41558565053713115,0.2666745453659848,0,0,tested,0.35292020461331014,0.47825109646095215,13.223463735783074,7.882222311952175e-21,4.0139383305241194e-20
C19orf44,72,0.014092661295942333,0.32894265877752693,0,0,tested,-0.06320507391673509,0.09139039650861976,0.3635290018397634,0.7172899576633937,0.7429200144326723
C19orf45,72,-0.04379233739126756,0.09388874974069852,0,0,tested,-0.06585511193038328,-0.021729562852151846,-3.957772425628738,0.0001773745368862751,0.00027620807623393015
C19orf47,72,-0.08009056693641285,0.21970547034522356,0,0,tested,-0.1317188213398885,-0.028462312532937212,-3.0931910562350082,0.0028307492074115957,0.003998714521872929
C19orf48,72,0.7420864813591092,0.4297821453283006,0,0,tested,0.6410926285332529,0.8430803341849654,14.65117308105179,3.7331064157439146e-23,2.355958131276818e-22
C19orf53,72,0.16859375075411176,0.35195422233423196,0,0,tested,0.08588856321145578,0.25129893829676775,4.064634893706016,0.00012268753380304684,0.0001935377016148113
C19orf54,72,-0.30091062509799227,0.3195064014396747,0,0,tested,-0.3759909485471401,-0.22583030164884443,-7.991424619192063,1.7346394022387055e-11,4.3797859824152154e-11
C19orf57,72,0.19512723540848664,0.24803641381061398,0,0,tested,0.13684153567866864,0.25341293513830465,6.675267839836206,4.600473713036e-09,9.903544396397548e-09
C19orf60,72,0.27742085143738504,0.43392456333523893,0,0,tested,0.17545357810282813,0.37938812477194195,5.424892210373473,7.613287456082823e-07,1.4042824563534092e-06
C19orf66,72,0.39304920155633716,0.3554576930555412,0,0,tested,0.3095207387560799,0.47657766435659443,9.382644219784,4.627019290707535e-14,1.3877408803281353e-13
C19orf67,72,0.4227440126218238,0.8348149495126586,0,0,tested,0.22657211701293867,0.618915908230709,4.296882678568329,5.41058207534229e-05,8.763391666323137e-05
C19orf68,72,-0.11182808525085121,0.19956035911231113,0,0,tested,-0.1587224705973349,-0.06493369990436752,-4.754916122203311,1.0095147684620163e-05,1.7262520973296077e-05
