specification,clip,term,abs_smd
original,0.02,income_Under $11k,0.0022045131688141354
original,0.05,cardiohx,0.00024795217077939227
original,0.05,chfhx,0.00037116241100917783
original,0.05,dementhx,0.052023774161873024
original,0.05,psychhx,0.014879837204332606
original,0.05,chrpulhx,0.026758160803540175
original,0.05,renalhx,0.016504287991017767
original,0.05,liverhx,0.002570611698731534
original,0.05,gibledhx,0.013833316583245074
original,0.05,malighx,0.01252763073002417
original,0.05,immunhx,0.006528463756961645
original,0.05,transhx,0.024422801533950413
original,0.05,amihx,0.004280900789526945
original,0.05,age,0.005427450150369768
original,0.05,edu,0.0066415367015309895
original,0.05,surv2md1,0.014544617173131599
original,0.05,das2d3pc,0.036483279189700596
original,0.05,aps1,0.04162044333378767
original,0.05,scoma1,0.011380114406840787
original,0.05,meanbp1,0.022616335170752816
original,0.05,wblc1,0.03778285304848617
original,0.05,hrt1,0.04276063958002442
original,0.05,resp1,0.01768952695198379
original,0.05,temp1,0.011395759434324295
original,0.05,pafi1,0.03002411043785585
original,0.05,alb1,0.008523444327563402
original,0.05,hema1,0.0243204003345966
original,0.05,bili1,0.0035552314446336023
original,0.05,crea1,0.027660711210204362
original,0.05,sod1,0.01971167193133568
original,0.05,pot1,0.015154034823196277
original,0.05,paco21,0.047613276884160116
original,0.05,ph1,0.026505955719591117
original,0.05,wtkilo1,0.03507524583168951
original,0.05,adld3p,0.03886026486875329
original,0.05,urin1,0.03340962115605084
original,0.05,cat1_CHF,0.009947554809813743
original,0.05,cat1_COPD,0.07194712553845112
original,0.05,cat1_Cirrhosis,0.016570632702070726
original,0.05,cat1_Colon Cancer,0.019371340629980815
original,0.05,cat1_Coma,0.026572818640047385
original,0.05,cat1_Lung Cancer,0.04291616521388066
original,0.05,cat1_MOSF w/Malignancy,0.009542208654371854
original,0.05,cat1_MOSF w/Sepsis,0.02881716604308867
original,0.05,cat2_Colon Cancer,0.000855933883446849
original,0.05,cat2_Coma,0.014864218695808402
original,0.05,cat2_Lung Cancer,0.009443997042142726
original,0.05,cat2_MOSF w/Malignancy,0.025237723691474274
original,0.05,cat2_MOSF w/Sepsis,0.012741127838560863
original,0.05,ca_No,0.011996600969723086
original,0.05,ca_Yes,0.013593080967358609
original,0.05,sex_Male,0.03108312589253997
original,0.05,dnr1_Yes,0.037459767711413024
original,0.05,ninsclas_Medicare,0.04174364643140263
original,0.05,ninsclas_Medicare & Medicaid,0.011626722262877724
original,0.05,ninsclas_No insurance,0.0009222240238800922
original,0.05,ninsclas_Private,0.02736088213078706
original,0.05,ninsclas_Private & Medicare,0.01889003348485215
original,0.05,resp_Yes,0.008649658012340564
original,0.05,card_Yes,0.02221480762894842
original,0.05,neuro_Yes,0.05517155377403213
original,0.05,gastr_Yes,0.0034273257847033966
original,0.05,renal_Yes,0.007793548471254631
original,0.05,meta_Yes,0.0016821853283042272
original,0.05,hema_Yes,0.010648933689969269
original,0.05,seps_Yes,0.02812539565449819
original,0.05,trauma_Yes,0.01489445420455131
original,0.05,ortho_Yes,0.005623966395558213
original,0.05,race_other,0.00784218707249928
original,0.05,race_white,0.0072855718993877095
original,0.05,income_$25-$50k,0.02909579669233322
original,0.05,income_> $50k,0.009778936136840439
original,0.05,income_Under $11k,0.005823980771749018
reduced,0.01,cardiohx,0.011332222545833734
reduced,0.01,chfhx,0.005424253695301143
reduced,0.01,dementhx,0.055129304126165624
reduced,0.01,psychhx,0.012994131735799342
reduced,0.01,chrpulhx,0.02292345609159504
reduced,0.01,renalhx,0.017083734763949955
reduced,0.01,liverhx,0.002020338596795575
reduced,0.01,gibledhx,0.013315172528772732
reduced,0.01,malighx,0.013240574821053716
reduced,0.01,immunhx,5.91861766901765e-05
reduced,0.01,transhx,0.019760214606164877
reduced,0.01,amihx,0.003658660194266701
reduced,0.01,age,0.005796121085908149
reduced,0.01,edu,0.008676469579078605
reduced,0.01,surv2md1,0.004716568396784419
reduced,0.01,das2d3pc,0.048081042918777024
reduced,0.01,aps1,0.018742618493799088
reduced,0.01,scoma1,0.005031835917360649
reduced,0.01,meanbp1,0.001737162776750949
reduced,0.01,wblc1,0.04880907639776475
reduced,0.01,hrt1,0.04331073082560559
reduced,0.01,resp1,0.02934417428045677
reduced,0.01,temp1,0.023156532868803016
reduced,0.01,pafi1,0.005984953562811105
reduced,0.01,alb1,0.012225600632199787
reduced,0.01,hema1,0.017446317167385993
reduced,0.01,bili1,0.007237150788434275
reduced,0.01,crea1,0.02530498266393269
reduced,0.01,sod1,0.016037150403051
reduced,0.01,pot1,0.02759003017455017
reduced,0.01,paco21,0.03442878457203516
reduced,0.01,ph1,0.03349150779643522
reduced,0.01,wtkilo1,0.0166391460287135
reduced,0.01,adld3p,0.16588320323188482
reduced,0.01,urin1,0.08565368369503484
reduced,0.01,cat1_CHF,0.0058212636285456575
reduced,0.01,cat1_COPD,0.0652902352404611
reduced,0.01,cat1_Cirrhosis,0.018128977831003798
reduced,0.01,cat1_Colon Cancer,0.017061124110153335
reduced,0.01,cat1_Coma,0.0025028447284346504
reduced,0.01,cat1_Lung Cancer,0.04002383990330097
reduced,0.01,cat1_MOSF w/Malignancy,0.010009665255865238
reduced,0.01,cat1_MOSF w/Sepsis,0.020422321262832062
reduced,0.01,cat2_Colon Cancer,0.0006935333579069549
reduced,0.01,cat2_Coma,0.013108910437883852
reduced,0.01,cat2_Lung Cancer,0.009379128499102928
reduced,0.01,cat2_MOSF w/Malignancy,0.030959522908718683
reduced,0.01,cat2_MOSF w/Sepsis,0.0050899299181062525
reduced,0.01,ca_No,0.012469280133810242
reduced,0.01,ca_Yes,0.016845447942436247
reduced,0.01,sex_Male,0.03160201666673514
reduced,0.01,dnr1_Yes,0.031715027083666476
reduced,0.01,ninsclas_Medicare,0.04829385077208558
reduced,0.01,ninsclas_Medicare & Medicaid,0.02004497399722945
reduced,0.01,ninsclas_No insurance,0.0019045339978800621
reduced,0.01,ninsclas_Private,0.01706111493279928
reduced,0.01,ninsclas_Private & Medicare,0.019500552266365306
reduced,0.01,resp_Yes,0.013308546905262958
reduced,0.01,card_Yes,0.0063788411499883495
reduced,0.01,neuro_Yes,0.029053646194931067
reduced,0.01,gastr_Yes,0.010252074177124834
reduced,0.01,renal_Yes,0.0017659540436819417
reduced,0.01,meta_Yes,0.005435639630745591
reduced,0.01,hema_Yes,0.018991788296211513
reduced,0.01,seps_Yes,0.02417077298325796
reduced,0.01,trauma_Yes,0.013140302989197323
reduced,0.01,ortho_Yes,0.005418764210704674
reduced,0.01,race_other,0.010108504604592453
reduced,0.01,race_white,0.007453461582076986
reduced,0.01,income_$25-$50k,0.02432918209053503
reduced,0.01,income_> $50k,0.0030620105679887676
reduced,0.01,income_Under $11k,0.0030711178169837796
reduced,0.02,cardiohx,0.01079966416881466
reduced,0.02,chfhx,0.004918690500335051
reduced,0.02,dementhx,0.05488591171827814
reduced,0.02,psychhx,0.012760889013654183
reduced,0.02,chrpulhx,0.022474916629502448
reduced,0.02,renalhx,0.017351983124153692
reduced,0.02,liverhx,0.0017284466749083495
reduced,0.02,gibledhx,0.013137433944542577
reduced,0.02,malighx,0.013814182195984369
reduced,0.02,immunhx,0.0006080835788971332
reduced,0.02,transhx,0.020169903066246102
reduced,0.02,amihx,0.0038420630067064997
reduced,0.02,age,0.005128569521286959
reduced,0.02,edu,0.008581521209629695
reduced,0.02,surv2md1,0.00499147475849796
reduced,0.02,das2d3pc,0.04642110212758443
reduced,0.02,aps1,0.02101121038939104
reduced,0.02,scoma1,0.0058936248048714465
reduced,0.02,meanbp1,0.003680719654308436
reduced,0.02,wblc1,0.04929731399006881
reduced,0.02,hrt1,0.04449367897539647
reduced,0.02,resp1,0.02965914095036501
reduced,0.02,temp1,0.02322509738683903
reduced,0.02,pafi1,0.007181611595659237
reduced,0.02,alb1,0.011666294588964964
reduced,0.02,hema1,0.017783129642417326
